job_id,total_input_tokens,total_output_tokens,total_cost_usd
4e42137f-b7c0-4c0d-9b13-489a5957ed5a,0,0,0.00000
c5251d87-3a8b-4d4a-9cf4-e728a018ac98,72563,3508,0.27031
00aef91f-dcd1-48e5-855c-a7c7f69c4be4,31083,1335,0.11327
8d56f6d4-8c81-465b-a659-023da1eee631,264618,8209,0.91699
b47cedcf-fce0-4d5b-b1b5-335558be547a,148,59,0.00133
020c82d4-6991-4012-bc2f-e38318bed2af,74231,3807,0.27980
935bd154-212d-4322-9d8c-6557eb06e093,32866,1510,0.12125
775d5dca-ba1c-49ea-bd30-a0366f831a89,7079,2194,0.05415
a7950c32-397c-4c43-9860-a8697a65a946,84502,3329,0.30344
c0c33c47-b45c-470b-bf5f-cb0a246abe85,137704,5859,0.50100
400a48e7-ee2d-4989-8828-6ff4d4e2337e,699458,10694,2.25878
1527fde1-973d-4f34-8603-ba2ae73d5737,64831,2894,0.23790
5b354b7d-d438-4134-b1f3-852658a7a8f5,77565,3654,0.28751
260e27ee-3b23-47ff-9026-a3a5d0376df3,115125,4032,0.40585
c43f64c9-a441-4e97-97c5-687555b85542,10619,662,0.04179
10780f55-8593-415f-a195-075f8f6d35ec,7981,2003,0.05399
95b82eb3-cfc0-4a8b-a67d-233f6c9bbb68,29550,1688,0.11397
58cda330-85e5-430b-bcd3-ffc5856ba26f,7913,401,0.02975
113dd071-7d68-4e61-8d5d-594746a5bac5,12429,806,0.04938
b37b5f5e-dbff-4349-9c8e-e07ad40c58f9,13912,648,0.05146
dfff7e37-57dc-4b9d-a74d-a6fdbce6758e,23469,1487,0.09271
9db1603e-1c2e-47f4-901a-13305c035ed0,30268,1421,0.11212
e72e94b4-8b72-43cf-be3e-9fcfe6582a53,122434,3921,0.42612
cf35a7c7-89fe-402d-acde-1ac52012886c,122166,3326,0.41639
f2103a87-603f-4ab4-8f4d-8cb14be48d75,52116,2207,0.18945
7db47eca-7038-4730-9f45-95a0e02826e2,363983,5779,1.17863
a2c6f083-7a00-4ef6-bdac-2d4e949aaee8,74522,2787,0.26537
3f4a07ce-821f-41ab-a835-2e504d49ef65,54871,2056,0.19545
0a6883cd-789a-4a3c-9b99-b0fcfee96b6a,68138,2797,0.24637
458c6b94-85be-4ce3-9eb1-c33b7ce5a9e9,39904,1955,0.14904
e1ca5d04-4b35-4c02-8ce2-511fd341f67a,96028,2925,0.33196
8e166a6d-9208-4e3b-8fea-92ca9fd35d3f,53106,3230,0.20777
6df3a20f-a99d-4cad-a1dd-fc4d028cb45d,106894,3840,0.37828
9848c6ec-5641-4ca1-a4b1-634251735e06,73077,3830,0.27668
65c3e1f8-67a3-42f1-abd7-bbcc8e42fc29,128,33,0.00088
6d31d0b1-abe0-489e-9b9d-e4b5d1b3dbac,128,33,0.00088
7b83e3b6-9b07-412e-bc32-fffe607b2c34,128,32,0.00086
d3df9088-17a5-44f4-835d-49b502d8344b,126,35,0.00090
5387623d-8fcf-4cc9-a37b-c72e96b0397f,126,35,0.00090
1884516e-b61e-4853-bed6-0b94e72e7677,127,36,0.00092
47d019c4-9f8c-410b-a7b4-a59546c17c05,126,34,0.00089
57032470-e905-44e5-a169-37cdac089918,126,34,0.00089
c447c002-91a3-4c10-9436-4223832ce195,182534,10198,0.70057
9734f1c1-8201-40cb-99e5-94ab2927ff7b,98420,2698,0.33573
6bbf3ced-05a5-4c45-899d-2e0ba5baa142,61194,2578,0.22225
379c1c73-c3cc-469b-afa0-a5bae951db64,126,39,0.00096
77bd2264-0ff2-4be0-be21-a98adc83475b,4440,195,0.01625
521136fb-b27c-4b0d-9f52-3590e37adeb6,133405,10336,0.55525
327197d2-49aa-4735-bc36-210080d90fe8,41625,2705,0.16545
c028b6d9-9b0d-407d-9257-5315ca43468d,149210,4648,0.51735
a8798e55-a5be-4929-bbe0-a68305a64c99,24040,961,0.08653
a346260e-3733-45c3-9393-16006845ee14,143097,9007,0.56440
a37a8aa8-0f65-43a1-9590-396a180ec74c,323941,12392,1.15770
9de078fa-88ea-4237-b575-4fb35d14efcf,143085,3127,0.47616
3bac714e-1d82-4370-b90e-1ddabd07e556,30561,1156,0.10902
358bda10-7283-41a7-8faf-54a7d5727fe3,105228,3326,0.36557
e921b518-8172-4601-a27b-cf06bb500b27,144726,4241,0.49779
668ee2fa-84b3-4002-829a-5f2aafe07ac2,49568,1585,0.17248
26ad1c23-7acf-427d-9dee-cbe58b11c6f2,5502,276,0.02065
